element,item,production,element,item,production,years,country_name
Feed,Starchy Roots,331,Food,"Vegetables, Other",19584,1994,United States of America
Feed,Maize and products,138675,Food,Cereals - Excluding Beer,30604,1994,United States of America
Feed,Cereals - Excluding Beer,166992,Food,Vegetables,33957,1994,United States of America
Feed,Starchy Roots,288,Food,"Vegetables, Other",18760,1995,United States of America
Feed,Maize and products,119189,Food,Vegetables,32927,1995,United States of America
Feed,Cereals - Excluding Beer,137938,Food,Cereals - Excluding Beer,33206,1995,United States of America
Feed,Starchy Roots,736,Food,"Vegetables, Other",19418,1996,United States of America
Feed,Maize and products,134037,Food,Cereals - Excluding Beer,31383,1996,United States of America
Feed,Cereals - Excluding Beer,163081,Food,Vegetables,33713,1996,United States of America
Feed,Starchy Roots,343,Food,"Vegetables, Other",20560,1997,United States of America
Feed,Maize and products,138442,Food,Cereals - Excluding Beer,31834,1997,United States of America
Feed,Cereals - Excluding Beer,160712,Food,Vegetables,33660,1997,United States of America
Feed,Starchy Roots,338,Food,"Vegetables, Other",20133,1998,United States of America
Feed,Maize and products,138491,Food,Cereals - Excluding Beer,32026,1998,United States of America
Feed,Cereals - Excluding Beer,162450,Food,Vegetables,32913,1998,United States of America
Feed,Starchy Roots,334,Food,"Vegetables, Other",21314,1999,United States of America
Feed,Maize and products,143326,Food,Cereals - Excluding Beer,31637,1999,United States of America
Feed,Cereals - Excluding Beer,164573,Food,Vegetables,37552,1999,United States of America
Feed,Starchy Roots,679,Food,"Vegetables, Other",22560,2000,United States of America
Feed,Maize and products,147880,Food,Cereals - Excluding Beer,32723,2000,United States of America
Feed,Cereals - Excluding Beer,167643,Food,Vegetables,37674,2000,United States of America
Feed,Starchy Roots,382,Food,"Vegetables, Other",22191,2001,United States of America
Feed,Maize and products,148558,Food,Cereals - Excluding Beer,32399,2001,United States of America
Feed,Cereals - Excluding Beer,164286,Food,Vegetables,35720,2001,United States of America
Feed,Starchy Roots,379,Food,"Vegetables, Other",21887,2002,United States of America
Feed,Maize and products,140927,Food,Cereals - Excluding Beer,31871,2002,United States of America
Feed,Cereals - Excluding Beer,152591,Food,Vegetables,37967,2002,United States of America
Feed,Starchy Roots,356,Food,"Vegetables, Other",22892,2003,United States of America
Feed,Maize and products,146844,Food,Cereals - Excluding Beer,32131,2003,United States of America
Feed,Cereals - Excluding Beer,161046,Food,Vegetables,37102,2003,United States of America
Feed,Starchy Roots,351,Food,"Vegetables, Other",22046,2004,United States of America
Feed,Maize and products,155831,Food,Cereals - Excluding Beer,31979,2004,United States of America
Feed,Cereals - Excluding Beer,170320,Food,Vegetables,39107,2004,United States of America
Feed,Starchy Roots,373,Food,"Vegetables, Other",21973,2005,United States of America
Feed,Maize and products,155323,Food,Cereals - Excluding Beer,32471,2005,United States of America
Feed,Cereals - Excluding Beer,166631,Food,Vegetables,36668,2005,United States of America
Feed,Starchy Roots,354,Food,"Vegetables, Other",22758,2006,United States of America
Feed,Maize and products,140719,Food,Cereals - Excluding Beer,32991,2006,United States of America
Feed,Cereals - Excluding Beer,150006,Food,Vegetables,37892,2006,United States of America
Feed,Starchy Roots,334,Food,"Vegetables, Other",21697,2007,United States of America
Feed,Maize and products,148787,Food,Cereals - Excluding Beer,33551,2007,United States of America
Feed,Cereals - Excluding Beer,156304,Food,Vegetables,39116,2007,United States of America
Feed,Starchy Roots,293,Food,"Vegetables, Other",20868,2008,United States of America
Feed,Maize and products,131619,Food,Cereals - Excluding Beer,33107,2008,United States of America
Feed,Cereals - Excluding Beer,146098,Food,Vegetables,35699,2008,United States of America
Feed,Starchy Roots,350,Food,"Vegetables, Other",20979,2009,United States of America
Feed,Maize and products,130193,Food,Cereals - Excluding Beer,32753,2009,United States of America
Feed,Cereals - Excluding Beer,141625,Food,Vegetables,37686,2009,United States of America
Feed,Starchy Roots,371,Food,"Vegetables, Other",21798,2010,United States of America
Feed,Maize and products,121902,Food,Cereals - Excluding Beer,33239,2010,United States of America
Feed,Cereals - Excluding Beer,131633,Food,Vegetables,37496,2010,United States of America
Feed,Starchy Roots,363,Food,"Vegetables, Other",21532,2011,United States of America
Feed,Maize and products,115739,Food,Cereals - Excluding Beer,33139,2011,United States of America
Feed,Cereals - Excluding Beer,124808,Food,Vegetables,36650,2011,United States of America
Feed,Starchy Roots,485,Food,"Vegetables, Other",21765,2012,United States of America
Feed,Maize and products,109607,Food,Cereals - Excluding Beer,33806,2012,United States of America
Feed,Cereals - Excluding Beer,125012,Food,Vegetables,37515,2012,United States of America
Feed,Starchy Roots,471,Food,"Vegetables, Other",21334,2013,United States of America
Feed,Maize and products,128024,Food,Cereals - Excluding Beer,33809,2013,United States of America
Feed,Cereals - Excluding Beer,140096,Food,Vegetables,36472,2013,United States of America
