"element","item","country_name","production","years"
"Food","Cereals - Excluding Beer","United States of America",16774,1970
"Food","Vegetables","United States of America",19900,1970
"Food","Vegetables, Other","United States of America",13781,1971
"Food","Cereals - Excluding Beer","United States of America",16955,1971
"Food","Vegetables","United States of America",20930,1971
"Food","Vegetables, Other","United States of America",13837,1972
"Food","Cereals - Excluding Beer","United States of America",16929,1972
"Food","Vegetables","United States of America",21140,1972
"Food","Vegetables, Other","United States of America",13482,1973
"Food","Cereals - Excluding Beer","United States of America",17445,1973
"Food","Vegetables","United States of America",21118,1973
"Food","Vegetables, Other","United States of America",13937,1974
"Food","Cereals - Excluding Beer","United States of America",17560,1974
"Food","Vegetables","United States of America",22443,1974
"Food","Vegetables, Other","United States of America",13538,1975
"Food","Cereals - Excluding Beer","United States of America",18539,1975
"Food","Vegetables","United States of America",23275,1975
"Food","Vegetables, Other","United States of America",14371,1976
"Food","Cereals - Excluding Beer","United States of America",19286,1976
"Food","Vegetables","United States of America",22524,1976
"Food","Vegetables, Other","United States of America",14958,1977
"Food","Cereals - Excluding Beer","United States of America",19048,1977
"Food","Vegetables","United States of America",24303,1977
"Food","Vegetables, Other","United States of America",16195,1978
"Food","Cereals - Excluding Beer","United States of America",18980,1978
"Food","Vegetables","United States of America",24465,1978
"Food","Vegetables, Other","United States of America",16212,1979
"Food","Cereals - Excluding Beer","United States of America",19978,1979
"Food","Vegetables","United States of America",25384,1979
"Food","Vegetables, Other","United States of America",15560,1980
"Food","Cereals - Excluding Beer","United States of America",19970,1980
"Food","Vegetables","United States of America",23535,1980
"Food","Vegetables, Other","United States of America",15954,1981
"Food","Cereals - Excluding Beer","United States of America",20355,1981
"Food","Vegetables","United States of America",23610,1981
"Food","Vegetables, Other","United States of America",16635,1982
"Food","Cereals - Excluding Beer","United States of America",20857,1982
"Food","Vegetables","United States of America",26416,1982
"Food","Vegetables, Other","United States of America",15219,1983
"Food","Cereals - Excluding Beer","United States of America",20708,1983
"Food","Vegetables","United States of America",24703,1983
"Food","Vegetables, Other","United States of America",16511,1984
"Food","Cereals - Excluding Beer","United States of America",21395,1984
"Food","Vegetables","United States of America",26816,1984
"Food","Vegetables, Other","United States of America",16907,1985
"Food","Cereals - Excluding Beer","United States of America",22472,1985
"Food","Vegetables","United States of America",26981,1985
"Food","Vegetables, Other","United States of America",16206,1986
"Food","Cereals - Excluding Beer","United States of America",23464,1986
"Food","Vegetables","United States of America",26504,1986
"Food","Vegetables, Other","United States of America",17447,1987
"Food","Cereals - Excluding Beer","United States of America",24949,1987
"Food","Vegetables","United States of America",27967,1987
"Food","Vegetables, Other","United States of America",15941,1988
"Food","Cereals - Excluding Beer","United States of America",25690,1988
"Food","Vegetables","United States of America",26428,1988
"Food","Vegetables, Other","United States of America",17579,1989
"Food","Cereals - Excluding Beer","United States of America",26115,1989
"Food","Vegetables","United States of America",30072,1989
"Food","Vegetables, Other","United States of America",16725,1990
"Food","Cereals - Excluding Beer","United States of America",27686,1990
"Food","Vegetables","United States of America",29710,1990
"Food","Vegetables, Other","United States of America",16227,1991
"Food","Cereals - Excluding Beer","United States of America",28292,1991
"Food","Vegetables","United States of America",29521,1991
"Food","Vegetables, Other","United States of America",17815,1992
"Food","Cereals - Excluding Beer","United States of America",29170,1992
"Food","Vegetables","United States of America",29272,1992
"Food","Vegetables, Other","United States of America",17135,1993
"Food","Vegetables","United States of America",29704,1993
"Food","Cereals - Excluding Beer","United States of America",30182,1993
"Food","Vegetables, Other","United States of America",19584,1994
"Food","Cereals - Excluding Beer","United States of America",30604,1994
"Food","Vegetables","United States of America",33957,1994
"Food","Vegetables, Other","United States of America",18760,1995
"Food","Vegetables","United States of America",32927,1995
"Food","Cereals - Excluding Beer","United States of America",33206,1995
"Food","Vegetables, Other","United States of America",19418,1996
"Food","Cereals - Excluding Beer","United States of America",31383,1996
"Food","Vegetables","United States of America",33713,1996
"Food","Vegetables, Other","United States of America",20560,1997
"Food","Cereals - Excluding Beer","United States of America",31834,1997
"Food","Vegetables","United States of America",33660,1997
"Food","Vegetables, Other","United States of America",20133,1998
"Food","Cereals - Excluding Beer","United States of America",32026,1998
"Food","Vegetables","United States of America",32913,1998
"Food","Vegetables, Other","United States of America",21314,1999
"Food","Cereals - Excluding Beer","United States of America",31637,1999
"Food","Vegetables","United States of America",37552,1999
"Food","Vegetables, Other","United States of America",22560,2000
"Food","Cereals - Excluding Beer","United States of America",32723,2000
"Food","Vegetables","United States of America",37674,2000
"Food","Vegetables, Other","United States of America",22191,2001
"Food","Cereals - Excluding Beer","United States of America",32399,2001
"Food","Vegetables","United States of America",35720,2001
"Food","Vegetables, Other","United States of America",21887,2002
"Food","Cereals - Excluding Beer","United States of America",31871,2002
"Food","Vegetables","United States of America",37967,2002
"Food","Vegetables, Other","United States of America",22892,2003
"Food","Cereals - Excluding Beer","United States of America",32131,2003
"Food","Vegetables","United States of America",37102,2003
"Food","Vegetables, Other","United States of America",22046,2004
"Food","Cereals - Excluding Beer","United States of America",31979,2004
"Food","Vegetables","United States of America",39107,2004
"Food","Vegetables, Other","United States of America",21973,2005
"Food","Cereals - Excluding Beer","United States of America",32471,2005
"Food","Vegetables","United States of America",36668,2005
"Food","Vegetables, Other","United States of America",22758,2006
"Food","Cereals - Excluding Beer","United States of America",32991,2006
"Food","Vegetables","United States of America",37892,2006
"Food","Vegetables, Other","United States of America",21697,2007
"Food","Cereals - Excluding Beer","United States of America",33551,2007
"Food","Vegetables","United States of America",39116,2007
"Food","Vegetables, Other","United States of America",20868,2008
"Food","Cereals - Excluding Beer","United States of America",33107,2008
"Food","Vegetables","United States of America",35699,2008
"Food","Vegetables, Other","United States of America",20979,2009
"Food","Cereals - Excluding Beer","United States of America",32753,2009
"Food","Vegetables","United States of America",37686,2009
"Food","Vegetables, Other","United States of America",21798,2010
"Food","Cereals - Excluding Beer","United States of America",33239,2010
"Food","Vegetables","United States of America",37496,2010
"Food","Vegetables, Other","United States of America",21532,2011
"Food","Cereals - Excluding Beer","United States of America",33139,2011
"Food","Vegetables","United States of America",36650,2011
"Food","Vegetables, Other","United States of America",21765,2012
"Food","Cereals - Excluding Beer","United States of America",33806,2012
"Food","Vegetables","United States of America",37515,2012
"Food","Vegetables, Other","United States of America",21334,2013
"Food","Cereals - Excluding Beer","United States of America",33809,2013
"Food","Vegetables","United States of America",36472,2013
